BaseSeed,SoundSpeedSeed,DensitySeed,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,RhoMin_kgm3,RhoMax_kgm3,Corr_C_Rho,dt_ns,Nt,TEnd_us,PPW_6MHz,ForwardRuntime_s
27,100027,200027,1499.99999995364,19.9999999860268,1450.40832519531,1542.84045410156,999.99999998841,14.9999999102083,959.423767089844,1035.29333496094,0.17394971843836,6.48155159103815,2469,15.9964693266821,4.83469441731771,39.667298
28,100028,200028,1499.99999979801,20.0000001957329,1449.99572753906,1547.91137695312,1000.00000002484,15.0000000176782,953.134460449219,1035.1484375,-0.0545168767607579,6.46031817382451,2477,15.9957477983895,4.83331909179688,40.5550878
29,100029,200029,1500.00000011259,20.000000111022,1435.75598144531,1536.13891601562,999.999999761581,15.0000000340019,962.369873046875,1040.38952636719,0.193329581818981,6.50982791708552,2458,15.9946471922791,4.78585327148437,37.8920675
30,100030,200030,1500.00000013908,20.0000002501043,1446.74438476562,1553.177734375,999.999999985099,14.9999999967299,947.730102539062,1031.99475097656,0.14728750892564,6.43841318265099,2486,15.9994567588877,4.82248128255208,37.8213353
31,100031,200031,1500.00000003643,20.0000000202594,1454.05529785156,1555.66589355469,999.999999937084,14.9999999410739,962.101013183594,1034.04406738281,0.0353969388664228,6.42811547224325,2490,15.9995794104134,4.84685099283854,39.6922021
32,100032,200032,1500.00000013908,20.000000244846,1424.61889648438,1537.89562988281,1000.00000009934,14.9999999842358,958.749938964844,1039.26342773438,-0.129336006175644,6.50239184356223,2461,15.9958839351631,4.74872965494792,42.2706023
33,100033,200033,1500.00000006623,20.0000004017315,1450.78601074219,1559.04748535156,999.999999900659,14.9999999571842,962.455505371094,1044.93481445312,-0.0906622492179495,6.41417281638796,2495,15.9969470040716,4.83595336914062,41.0505632
34,100034,200034,1499.99999984105,19.9999997926211,1451.61315917969,1542.85266113281,999.999999991722,14.9999998172192,967.727355957031,1034.02270507812,0.281085512105313,6.4815003090818,2469,15.9963427628139,4.83871053059896,39.344565
35,100035,200035,1500.00000032451,20.0000002825896,1448.06103515625,1549.728515625,1000.0000001308,15.0000000637232,961.652770996094,1032.56921386719,0.0883380889756303,6.45274310898708,2480,15.996350167179,4.8268701171875,39.0992978
36,100036,200036,1500.00000012914,19.9999997605911,1449.48974609375,1569.88049316406,999.999999935428,14.9999999207225,961.327331542969,1038.98474121094,-0.104748253210202,6.36991162291927,2512,15.9948480851503,4.83163248697917,39.2443319
37,100037,200037,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,965.878295898438,1052.88244628906,-0.0792622938326533,6.50091347674598,2462,15.9987480662719,4.82341796875,38.1273485
38,100038,200038,1500.00000020862,19.9999996197938,1432.9111328125,1547.47204589844,1000.00000002152,15.0000000081811,959.744262695312,1039.53454589844,-0.0216909459879776,6.46215227377123,2476,15.9938268775838,4.77637044270833,38.4711763
39,100039,200039,1500.00000000331,19.9999997645622,1458.37841796875,1551.72399902344,1000.0000000596,14.9999999867335,957.423156738281,1034.38598632812,-0.35743198374678,6.44444502133975,2483,15.9951125429653,4.86126139322917,38.9083561
40,100040,200040,1499.99999980794,20.0000002155688,1426.89111328125,1543.67529296875,999.999999975165,15.0000000219052,964.128723144531,1044.81506347656,-0.292937611176518,6.47804628703249,2470,15.9942962826832,4.7563037109375,37.7996814
41,100041,200041,1499.99999988079,20.0000001176043,1460.37426757812,1551.10998535156,999.999999956952,14.9999998034075,963.958618164062,1045.06750488281,0.0273425322818435,6.44699608308787,2482,15.994997282141,4.86791422526042,38.1603953
42,100042,200042,1499.99999995364,19.9999999069709,1439.39135742188,1550.48400878906,999.999999817875,14.9999998502139,963.860961914062,1047.54943847656,-0.164823579534413,6.44959892737627,2481,15.9950053398932,4.79797119140625,38.6160941
43,100043,200043,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,957.765625,1034.50927734375,0.19734601332414,6.48959442807478,2466,15.9968502652043,4.850810546875,40.7230707
44,100044,200044,1500.00000053975,19.999999854044,1449.70373535156,1548.97131347656,999.999999917216,14.9999996590148,952.486022949219,1037.84924316406,-0.0495927383640083,6.4558974804741,2479,15.9977139566148,4.83234578450521,39.8722037
45,100045,200045,1499.99999977152,20.0000002477451,1452.89331054688,1550.10009765625,1000.00000002318,14.9999999098337,968.471801757812,1037.33959960938,0.113114885860181,6.45119629056213,2481,15.9989668005941,4.84297770182292,40.7949469
46,100046,200046,1500.00000010596,19.9999997672329,1444.84631347656,1544.94580078125,999.999999955297,15.0000000181127,959.361083984375,1038.50952148438,0.0186743934040397,6.47271897495899,2472,15.9940885871237,4.81615437825521,42.9177123
47,100047,200047,1500.00000012583,20.0000001309413,1455.76672363281,1565.41748046875,1000.00000017219,15.0000000603009,959.202087402344,1036.85961914062,-0.39195468718183,6.38807227130592,2505,15.99573296735,4.85255574544271,32.7012501
48,100048,200048,1499.99999998344,19.9999999366067,1429.13269042969,1553.35778808594,1000.00000002318,15.0000001157327,962.837158203125,1044.08605957031,0.125698613080178,6.43766688955936,2486,15.997602220555,4.76377563476562,27.9182658
49,100049,200049,1500.00000004305,20.0000002939789,1441.95068359375,1537.7939453125,999.999999965231,14.9999999138473,967.673522949219,1041.89855957031,-0.359165419993177,6.50282180553642,2461,15.9969416416196,4.80650227864583,28.5613704
50,100050,200050,1499.99999983112,20.000000026018,1453.70043945312,1560.81604003906,1000.00000002649,15.0000000380293,956.954772949219,1030.45422363281,0.211661877877674,6.40690494169302,2498,15.9980416394075,4.84566813151042,30.2606701
